Differences found in track 'PART DRUMS':
Time: 61120, added: DRUM ROLL
Time: 61280, added: DRUM ROLL
Time: 61360, added: DRUM ROLL
Time: 61520, added: DRUM ROLL
Time: 64238, removed: DRUM ROLL
Time: 64238, removed: EXPERT Blue
Time: 64238, removed: EXPERT Blue
Time: 64240, added: EXPERT Blue
Time: 64240, added: EXPERT Blue
Time: 64240, added: DRUM ROLL
Time: 253038, removed: MEDIUM Blue
Time: 256398, removed: LANE MARKER
Time: 256460, added: EXPERT Red
Time: 256460, added: EXPERT Blue
Time: 256460, added: LANE MARKER
Time: 256478, removed: EXPERT Red
Time: 256478, removed: EXPERT Blue
Time: 258558, removed: LANE MARKER
Time: 258638, removed: Force HOPO Off
Time: 258638, removed: MEDIUM Yellow
Time: 258638, removed: HARD Orange
Time: 258638, removed: LANE MARKER
Time: 258638, removed: EXPERT Blue
Time: 258638, removed: EXPERT Orange
Time: 258640, added: Force HOPO Off
Time: 258640, added: MEDIUM Yellow
Time: 258640, added: EXPERT Orange
Time: 258640, added: LANE MARKER
Time: 258640, added: EXPERT Blue
Time: 258640, added: HARD Orange
Time: 258640, added: LANE MARKER
Time: 259113, removed: LANE MARKER
Time: 259180, added: EXPERT Orange
Time: 259180, added: LANE MARKER
Time: 259180, added: Force HOPO Off
Time: 259180, added: MEDIUM Yellow
Time: 259180, added: EASY Red
Time: 259180, added: LANE MARKER
Time: 259180, added: EXPERT Blue
Time: 259180, added: HARD Orange
Time: 259198, removed: Force HOPO Off
Time: 259198, removed: MEDIUM Yellow
Time: 259198, removed: HARD Orange
Time: 259198, removed: EASY Red
Time: 259198, removed: LANE MARKER
Time: 259198, removed: EXPERT Blue
Time: 259198, removed: EXPERT Orange
Time: 259518, removed: LANE MARKER
Time: 259598, removed: EXPERT Orange
Time: 259600, added: EXPERT Orange
Time: 259600, added: LANE MARKER
Time: 259998, removed: LANE MARKER
Time: 260078, removed: EXPERT Blue
Time: 260080, added: EXPERT Blue
Time: 260080, added: LANE MARKER
Time: 260718, removed: LANE MARKER
Time: 260798, removed: EXPERT Blue
Time: 260800, added: EXPERT Blue
Time: 260800, added: LANE MARKER
Time: 286198, removed: Solo Marker
Time: 286260, added: Solo Marker
Text differences found in track 'PART GUITAR':
Time: 218880, Text event changed from '[map HandMap_Defaultt]' to '[map HandMap_Default]'
